接口/方法,说明,常见使用场景
RuntimeService.startProcessInstanceByKey,启动一个流程实例,在提交业务时发起流程
TaskService.createTaskQuery,查询待办任务列表,经办人查看自己名下待办
TaskService.complete,提交任务并流转到下一节点,经办人完成处理
HistoryService.createHistoricTaskInstanceQuery,查询历史任务,经办人查看自己已办过的任务
HistoryService.createHistoricProcessInstanceQuery,查询历史流程实例,业务回溯、统计分析
TaskService.claim,签收任务,经办人领取未签收的待办任务
TaskService.setAssignee,转办任务,经办人把任务转给他人
TaskService.addCandidateUser/Group,添加候选人或候选组,多人/多部门共享处理权
TaskService.removeCandidateUser/Group,移除候选人或候选组,动态调整处理权限
TaskService.setVariable/RuntimeService.setVariable,设置流程变量,提交时传递业务数据
RuntimeService.getVariable,获取流程变量,任务执行过程中读取业务数据
TaskService.createTaskQuery.count,分页查询任务总数,待办任务分页显示
TaskService.createTaskQuery.listPage,分页查询任务数据,结合前端分页渲染
RepositoryService.createProcessDefinitionQuery,查询流程定义,查看部署的流程版本
RepositoryService.suspendProcessDefinitionById,挂起流程定义,暂停流程不允许启动新实例
RepositoryService.activateProcessDefinitionById,激活流程定义,恢复挂起的流程
RuntimeService.suspendProcessInstanceById,挂起流程实例,流程实例暂停不流转
RuntimeService.activateProcessInstanceById,激活流程实例,恢复被挂起的流程实例
HistoryService.deleteHistoricProcessInstance,删除历史流程,清理无效或测试数据
